JW_ID	Locustag K-12	Locustag MG1655	Gene name K-12	Locus name K-12	Synonyms of locus names K-12	Solubility(%)	yield_new(uM)	yield_new(ug/ml)	calculated MW(kDa)	calculated pI	Type of gene product	Gene product description	Cell location	Structure (PDB) id	SCOP assignment
JW0002	ECK0003	b0003	thrB	thrB		32 	2.3 	78 	33.6 	6.2 	e	homoserine kinase	Cytoplasmic		54211; Ribosomal protein S5 domain 2-like -!- 55060; GHMP Kinase
JW0003	ECK0004	b0004	thrC	thrC		18 	1.7 	78 	47.1 	5.7 	e	threonine synthase	Cytoplasmic		53686; Tryptophan synthase beta subunit-like PLP-dependent enzymes
JW0004	ECK0005	b0005	yaaX	yaaX		78 	1.2 	14 	11.4 	10.9 	o	predicted protein	Periplasmic		
JW0005	ECK0006	b0006	yaaA	yaaA		7 	2.4 	71 	29.6 	8.7 	o	conserved protein	Cytoplasmic		
JW0007	ECK0008	b0008	talB	talB	yaaK	85 	2.7 	94 	35.2 	5.8 	e	transaldolase B	Cytoplasmic	1ONR	51569; Aldolase
JW0008	ECK0009	b0009	mog	mog	bisD -!- chlG -!- mogA -!- yaaG	89 	2.4 	52 	21.2 	5.8 	pf	predicted molybdochelatase	Cytoplasmic	1DI7	53218; Molybdenum cofactor biosynthesis proteins
JW5001	ECK0012	b0012	htgA	htgA	htpY -!- groPAB -!- groPC -!- groPF	46 	0.8 	13 	17.6 	8.6 	o	predicted protein	Cytoplasmic		
JW0012	ECK0013	b0013	yaaI	yaaI		59 	2.9 	41 	14.5 	8.2 	o	predicted protein	Periplasmic		
JW0013	ECK0014	b0014	dnaK	dnaK	grpF -!- seg -!- lop -!- groPAB -!- groPC -!- groPF -!- grpC	116 	0.6 	41 	69.0 	4.8 	f	"chaperone Hsp70, co-chaperone with DnaJ"	Cytoplasmic		53067; Actin-like ATPase domain
JW0014	ECK0015	b0015	dnaJ	dnaJ	groP -!- grpC	52 	1.5 	61 	41.1 	7.9 	f	"chaperone Hsp40, co-chaperone with DnaK"	Cytoplasmic		
JW5002	ECK0017	b4412	hokC	hokC	gef	32 	11.8 	65 	5.5 	8.2 	m	"toxic membrane protein, small"	Periplasmic		
JW0019	ECK0021	b0020	nhaR	nhaR	yaaB -!- antO	13 	0.8 	26 	34.2 	6.2 	r	DNA-binding transcriptional activator	Cytoplasmic		
JW0022	ECK0024	b0023	rpsT	rpsT	sup(s20) -!- supS20	103 	5.5 	54 	9.7 	11.8 	s	30S ribosomal subunit protein S20	Cytoplasmic	1P87	46992; Ribosomal protein S20
JW0023	ECK0026	b0025	ribF	ribF	yaaC	42 	1.9 	66 	34.7 	9.8 	e	bifunctional riboflavin kinase -!- FAD synthetase	Cytoplasmic		52374; Nucleotidylyl transferase
JW0025	ECK0028	b0027	lspA	lspA	dapB -!- ileS	6 	3.0 	54 	18.1 	9.1 	e	prolipoprotein signal peptidase (signal peptidase II)	Integral Membrane Protein		
JW0026	ECK0029	b0028	fkpB	fkpB	slpA -!- yaaD	110 	0.8 	13 	16.1 	4.7 	e	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	Cytoplasmic		54534; FKBP-like
JW0027	ECK0030	b0029	ispH	ispH	lytB -!- yaaE	75 	1.7 	61 	34.7 	5.7 	c	"1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase, 4Fe-4S protein"	Cytoplasmic		
